t,x,y,z,R,G,B,N_x,N_y,N_z,d,ath
34,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
36,309.2500,157.2500,50.0000,0,100,254,-0.0848,0.4327,-0.8975,523.3402,153.8366
36,244.0000,185.5000,50.0000,0,100,254,0.1497,0.6961,-0.7022,512.3680,134.6052
36,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
37,309.2500,157.2500,50.0000,0,100,254,-0.0848,0.4327,-0.8975,523.3402,153.8366
37,244.0000,185.5000,50.0000,0,100,254,0.1497,0.6961,-0.7022,512.3680,134.6052
37,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
41,309.2500,157.2500,50.0000,0,100,254,-0.0848,0.4327,-0.8975,523.3402,153.8366
41,244.0000,185.5000,50.0000,0,100,254,0.1497,0.6961,-0.7022,512.3680,134.6052
41,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
47,309.2500,157.2500,50.0000,0,100,254,-0.0848,0.4327,-0.8975,523.3402,153.8366
47,244.0000,185.5000,50.0000,0,100,254,0.1497,0.6961,-0.7022,512.3680,134.6052
47,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
49,309.2500,157.2500,50.0000,0,100,254,-0.0848,0.4327,-0.8975,523.3402,153.8366
49,244.0000,185.5000,50.0000,0,100,254,0.1497,0.6961,-0.7022,512.3680,134.6052
49,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
56,309.2500,157.2500,50.0000,0,100,254,-0.0848,0.4327,-0.8975,523.3402,153.8366
56,244.0000,185.5000,50.0000,0,100,254,0.1497,0.6961,-0.7022,512.3680,134.6052
56,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
60,309.2500,157.0000,50.0000,0,100,254,-0.0819,0.4395,-0.8945,523.5494,153.4428
60,244.0000,185.5000,50.0000,0,100,254,0.1497,0.6961,-0.7022,512.3680,134.6052
60,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
61,309.2500,157.2500,50.0000,0,100,254,-0.0848,0.4327,-0.8975,523.3402,153.8366
61,244.0000,185.5000,50.0000,0,100,254,0.1497,0.6961,-0.7022,512.3680,134.6052
61,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
62,309.2500,157.2500,50.0000,0,100,254,-0.0848,0.4327,-0.8975,523.3402,153.8366
62,244.0000,185.5000,50.0000,0,100,254,0.1497,0.6961,-0.7022,512.3680,134.6052
62,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
70,309.2500,157.2500,50.0000,0,100,254,-0.0848,0.4327,-0.8975,523.3402,153.8366
70,244.0000,185.5000,50.0000,0,100,254,0.1497,0.6961,-0.7022,512.3680,134.6052
70,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
71,309.2500,157.2500,50.0000,0,100,254,-0.0848,0.4327,-0.8975,523.3402,153.8366
71,244.0000,185.5000,50.0000,0,100,254,0.1497,0.6961,-0.7022,512.3680,134.6052
71,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
75,309.2500,156.7500,50.0000,0,100,254,-0.0819,0.4395,-0.8945,523.5494,153.4428
75,244.0000,185.2500,50.0000,0,100,254,0.1504,0.6995,-0.6987,511.9785,134.3198
75,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
76,309.2500,157.0000,50.0000,0,100,254,-0.0819,0.4395,-0.8945,523.5494,153.4428
76,244.0000,185.5000,50.0000,0,100,254,0.1497,0.6961,-0.7022,512.3680,134.6052
76,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
78,309.2500,156.7500,50.0000,0,100,254,-0.0819,0.4395,-0.8945,523.5494,153.4428
78,244.0000,185.2500,50.0000,0,100,254,0.1504,0.6995,-0.6987,511.9785,134.3198
78,220.2500,211.5000,50.0000,0,100,254,0.2809,0.6533,-0.7031,257.4044,134.6763
83,309.2500,156.7500,50.0000,1,100,253,-0.0819,0.4395,-0.8945,523.5494,153.4428
83,244.0000,185.2500,50.0000,1,100,253,0.1504,0.6995,-0.6987,511.9785,134.3198
83,220.2500,211.5000,50.0000,1,100,253,0.2809,0.6533,-0.7031,257.4044,134.6763
90,309.0000,157.0000,50.0000,1,100,253,-0.0814,0.4411,-0.8937,523.5494,153.3476
90,243.7500,185.5000,50.0000,1,100,253,0.1506,0.6969,-0.7011,511.4685,134.5186
90,220.2500,211.5000,50.0000,1,100,253,0.2809,0.6533,-0.7031,257.4044,134.6763
91,309.0000,157.0000,50.0000,1,100,253,-0.0814,0.4411,-0.8937,523.5494,153.3476
91,243.7500,185.5000,50.0000,1,100,253,0.1506,0.6969,-0.7011,511.4685,134.5186
91,220.2500,211.5000,50.0000,1,100,253,0.2809,0.6533,-0.7031,257.4044,134.6763
93,309.0000,156.7500,50.0000,1,100,253,-0.0814,0.4411,-0.8937,523.5494,153.3476
93,243.7500,185.2500,50.0000,1,100,253,0.1513,0.7004,-0.6976,511.0783,134.2325
93,220.2500,211.5000,50.0000,1,100,253,0.2809,0.6533,-0.7031,257.4044,134.6763
97,309.0000,156.7500,50.0000,1,100,253,-0.0814,0.4411,-0.8937,523.5494,153.3476
97,243.7500,185.2500,50.0000,1,100,253,0.1513,0.7004,-0.6976,511.0783,134.2325
97,220.2500,211.5000,50.0000,1,100,253,0.2809,0.6533,-0.7031,257.4044,134.6763
102,309.0000,156.7500,50.0000,1,100,253,-0.0814,0.4411,-0.8937,523.5494,153.3476
102,243.7500,185.2500,50.0000,1,100,253,0.1513,0.7004,-0.6976,511.0783,134.2325
102,220.2500,211.5000,50.0000,1,100,253,0.2809,0.6533,-0.7031,257.4044,134.6763
103,309.0000,157.0000,50.0000,1,100,253,-0.0843,0.4343,-0.8968,523.3402,153.7399
103,243.7500,185.2500,50.0000,1,100,253,0.1513,0.7004,-0.6976,511.0783,134.2325
103,220.2500,211.5000,50.0000,1,100,253,0.2809,0.6533,-0.7031,257.4044,134.6763
105,309.0000,157.0000,50.0000,1,100,253,-0.0843,0.4343,-0.8968,523.3402,153.7399
105,243.7500,185.2500,50.0000,1,100,253,0.1513,0.7004,-0.6976,511.0783,134.2325
105,220.2500,211.5000,50.0000,1,100,253,0.2809,0.6533,-0.7031,257.4044,134.6763
106,309.0000,157.0000,50.0000,1,100,253,-0.0843,0.4343,-0.8968,523.3402,153.7399
106,243.7500,185.2500,50.0000,1,100,253,0.1513,0.7004,-0.6976,511.0783,134.2325
106,220.2500,211.5000,50.0000,1,100,253,0.2809,0.6533,-0.7031,257.4044,134.6763
107,309.0000,156.7500,50.0000,1,100,253,-0.0814,0.4411,-0.8937,523.5494,153.3476
107,243.7500,185.2500,50.0000,1,100,253,0.1513,0.7004,-0.6976,511.0783,134.2325
107,220.2500,211.5000,50.0000,1,100,253,0.2809,0.6533,-0.7031,257.4044,134.6763
109,309.0000,156.7500,50.0000,1,100,253,-0.0814,0.4411,-0.8937,523.5494,153.3476
109,238.2500,187.0000,50.0000,1,100,253,0.1619,0.7157,-0.6794,511.0783,132.7958
109,214.7500,213.2500,50.0000,1,100,253,0.2884,0.6499,-0.7032,239.4368,134.6815
113,307.0000,158.2500,50.0000,1,100,253,-0.0793,0.4301,-0.8993,532.2828,154.0635
113,238.2500,187.2500,50.0000,1,100,253,0.1611,0.7122,-0.6832,511.4685,133.0953
113,212.7500,214.5000,50.0000,1,100,253,0.2945,0.6521,-0.6986,239.4368,134.3142
116,315.7500,178.7500,50.0000,1,100,253,-0.0617,0.3346,-0.9403,599.5206,160.1086
